Area,Date,Discharged,Fatal,Hosp_require,Hosp_severe,Positive,Tested
Domestic,2/6/2020,4,0,,0,16,132
Returnee,2/6/2020,0,0,,0,9,566
Domestic,2/7/2020,4,0,,0,16,151
Returnee,2/7/2020,0,0,,0,9,566
Domestic,2/10/2020,9,0,,0,16,174
Returnee,2/10/2020,0,0,,0,10,764
Domestic,2/12/2020,10,0,,0,16,190
Returnee,2/12/2020,0,0,,0,12,764
Domestic,2/13/2020,11,0,,0,17,200
Returnee,2/13/2020,0,0,,0,12,764
Domestic,2/14/2020,11,0,,0,21,214
Returnee,2/14/2020,1,0,,0,12,764
Domestic,2/17/2020,13,1,,3,46,487
Returnee,2/17/2020,3,0,,0,13,764
Domestic,2/18/2020,12,1,,3,53,523
Returnee,2/18/2020,4,0,,0,13,764
Domestic,2/19/2020,14,1,,6,60,532
Returnee,2/19/2020,4,0,,0,13,764
Domestic,2/20/2020,16,1,,7,70,603
Returnee,2/20/2020,4,0,,0,14,829
Domestic,2/21/2020,16,1,,9,79,693
Returnee,2/21/2020,4,0,,0,14,829
Domestic,2/22/2020,17,1,,10,90,778
Returnee,2/22/2020,7,0,,0,15,829
Domestic,2/23/2020,17,1,,11,114,874
Returnee,2/23/2020,7,0,,0,15,829
Domestic,2/24/2020,17,1,,13,126,913
Returnee,2/24/2020,9,0,,0,15,829
Domestic,2/25/2020,9,1,,14,140,1017
Returnee,2/25/2020,9,0,,0,15,829
Domestic,2/26/2020,23,1,,15,149,1061
Returnee,2/26/2020,9,0,,0,15,829
Domestic,2/27/2020,30,3,,16,171,1229
Returnee,2/27/2020,10,0,,0,15,829
Domestic,2/28/2020,30,4,,20,195,1380
Returnee,2/28/2020,11,0,,0,15,829
Domestic,2/29/2020,31,5,,22,215,1510
Returnee,2/29/2020,15,0,,0,15,829
Domestic,3/1/2020,31,5,,23,224,1688
Returnee,3/1/2020,15,0,,0,15,829
Domestic,3/2/2020,32,6,,23,239,1784
Returnee,3/2/2020,15,0,,0,15,829
Domestic,3/3/2020,35,6,,24,253,1855
Returnee,3/3/2020,15,0,,0,15,829
Domestic,3/4/2020,37,6,,24,269,5690
Returnee,3/4/2020,15,0,,0,15,829
Domestic,3/5/2020,38,6,,27,302,5948
Airport,3/5/2020,0,0,,0,1,
Returnee,3/5/2020,15,0,,0,15,829
Domestic,3/6/2020,56,6,,30,333,6647
Airport,3/6/2020,0,0,,0,1,
Returnee,3/6/2020,15,0,,0,15,829
Domestic,3/7/2020,63,6,,28,392,7200
Airport,3/7/2020,0,0,,0,1,
Returnee,3/7/2020,15,0,,0,15,829
Domestic,3/8/2020,67,6,,27,439,7347
Airport,3/8/2020,0,0,,0,1,
Returnee,3/8/2020,15,0,,0,15,829
Domestic,3/9/2020,88,7,,33,472,7457
Airport,3/9/2020,0,0,,0,1,
Returnee,3/9/2020,15,0,,0,15,829
Domestic,3/10/2020,89,9,,31,498,8771
Airport,3/10/2020,0,0,,0,1,
Returnee,3/10/2020,15,0,,0,15,829
Domestic,3/11/2020,103,12,,26,552,9195
Airport,3/11/2020,0,0,,0,1,
Returnee,3/11/2020,15,0,,0,15,829
Domestic,3/12/2020,108,15,,29,608,9376
Airport,3/12/2020,0,0,,0,1,
Returnee,3/12/2020,15,0,,0,15,829
Domestic,3/13/2020,120,19,,32,659,11231
Airport,3/13/2020,0,0,,0,2,
Returnee,3/13/2020,15,0,,0,15,829
Domestic,3/14/2020,129,21,,35,699,12090
Airport,3/14/2020,0,0,,0,2,
Returnee,3/14/2020,15,0,,0,15,829
Domestic,3/15/2020,142,22,,36,762,12197
Airport,3/15/2020,0,0,,0,3,
Returnee,3/15/2020,15,0,,0,15,829
Domestic,3/16/2020,149,24,,41,794,12239
Airport,3/16/2020,0,0,,0,5,
Returnee,3/16/2020,15,0,,0,15,829
Domestic,3/17/2020,156,28,,46,809,12989
Airport,3/17/2020,0,0,,0,5,
Returnee,3/17/2020,15,0,,0,15,829
Domestic,3/18/2020,176,29,,46,853,13192
Airport,3/18/2020,0,0,,0,5,
Returnee,3/18/2020,15,0,,0,15,829
Domestic,3/19/2020,200,31,,49,892,14072
Airport,3/19/2020,0,0,,0,7,
Returnee,3/19/2020,15,0,,0,15,829
Domestic,3/20/2020,212,33,,50,928,18015
Airport,3/20/2020,0,0,,0,7,
Returnee,3/20/2020,15,0,,0,15,829
Domestic,3/21/2020,217,35,,55,981,18134
Airport,3/21/2020,0,0,,0,11,1137
Returnee,3/21/2020,15,0,,0,15,829
Domestic,3/22/2020,257,36,,57,1015,18226
Airport,3/22/2020,0,0,,0,16,1173
Returnee,3/22/2020,15,0,,0,15,829
Domestic,3/23/2020,260,41,,54,1057,18322
Airport,3/23/2020,0,0,,0,17,1189
Returnee,3/23/2020,15,0,,0,15,829
Domestic,3/24/2020,285,42,,55,1095,22184
Airport,3/24/2020,1,0,,0,18,1417
Returnee,3/24/2020,15,0,,0,15,829
Domestic,3/25/2020,294,43,,57,1160,21266
Airport,3/25/2020,1,0,,0,18,1426
Returnee,3/25/2020,15,0,,0,15,829
Domestic,3/26/2020,343,45,,56,1254,22858
Airport,3/26/2020,1,0,,0,23,1484
Returnee,3/26/2020,15,0,,0,15,829
Domestic,3/27/2020,356,46,,56,1349,24663
Airport,3/27/2020,1,0,,0,23,1513
Returnee,3/27/2020,15,0,,0,15,829
Domestic,3/28/2020,388,49,,60,1453,26105
Airport,3/28/2020,1,0,,0,31,1530
Returnee,3/28/2020,15,0,,0,15,829
Domestic,3/29/2020,408,52,,59,1647,26401
Airport,3/29/2020,1,0,,0,31,1530
Returnee,3/29/2020,15,0,,0,15,829
Domestic,3/30/2020,408,54,,59,1820,26607
Airport,3/30/2020,1,0,,0,31,1530
Returnee,3/30/2020,15,0,,0,15,829
Domestic,3/31/2020,408,56,,59,1887,30088
Airport,3/31/2020,1,0,,0,51,1580
Returnee,3/31/2020,15,0,,0,15,829
Domestic,4/1/2020,456,57,,60,2107,32002
Airport,4/1/2020,1,0,,0,56,1677
Returnee,4/1/2020,15,0,,0,15,829
Domestic,4/2/2020,489,60,,62,2306,32002
Airport,4/2/2020,1,0,,0,60,1679
Returnee,4/2/2020,15,0,,0,15,829
Domestic,4/3/2020,498,63,,64,2541,36687
Airport,4/3/2020,1,0,,0,61,1930
Returnee,4/3/2020,15,0,,0,15,829
Domestic,4/4/2020,559,69,,69,2855,39992
Airport,4/4/2020,1,0,,0,65,2061
Returnee,4/4/2020,15,0,,0,15,829
Domestic,4/5/2020,568,70,,70,3191,40263
Airport,4/5/2020,1,0,,0,65,3547
Returnee,4/5/2020,15,0,,0,15,829
Domestic,4/6/2020,575,73,,79,3569,40481
Airport,4/6/2020,2,0,,0,70,4862
Returnee,4/6/2020,15,0,,0,15,829
Domestic,4/7/2020,605,80,,80,3817,48357
Airport,4/7/2020,2,0,,0,74,6125
Returnee,4/7/2020,15,0,,0,15,829
Domestic,4/8/2020,615,81,,99,4168,52901
Airport,4/8/2020,2,0,,0,74,7768
Returnee,4/8/2020,15,0,,0,15,829
Domestic,4/9/2020,668,85,,109,4667,54284
Airport,4/9/2020,2,0,,0,86,9274
Returnee,4/9/2020,15,0,,0,15,829
Domestic,4/10/2020,697,88,,117,5246,57125
Airport,4/10/2020,2,0,,0,86,10817
Returnee,4/10/2020,15,0,,0,15,829
Domestic,4/11/2020,745,94,,122,5902,61991
Airport,4/11/2020,2,0,,0,88,12071
Returnee,4/11/2020,15,0,,0,15,829
Domestic,4/12/2020,767,98,,129,6616,63132
Airport,4/12/2020,2,0,,0,117,13420
Returnee,4/12/2020,15,0,,0,15,829
Domestic,4/13/2020,782,102,,135,7123,63132
Airport,4/13/2020,2,0,,0,117,14741
Returnee,4/13/2020,15,0,,0,15,829
Domestic,4/14/2020,836,109,,152,7509,72801
Airport,4/14/2020,2,0,,0,121,15921
Returnee,4/14/2020,15,0,,0,15,829
Domestic,4/15/2020,884,119,,168,7964,76425
Airport,4/15/2020,2,0,,0,121,16982
Returnee,4/15/2020,15,0,,0,15,829
Domestic,4/16/2020,918,136,,193,8442,81825
Airport,4/16/2020,2,0,,0,125,18049
Returnee,4/16/2020,15,0,,0,15,829
Domestic,4/17/2020,995,148,,207,9027,86800
Airport,4/17/2020,2,0,,0,125,18743
Returnee,4/17/2020,15,0,,0,15,829
Domestic,4/18/2020,1052,154,,211,9654,91050
Airport,4/18/2020,2,0,,0,126,19446
Returnee,4/18/2020,15,0,,0,15,829
Domestic,4/19/2020,1142,161,,217,10219,91695
Airport,4/19/2020,2,0,,0,127,20292
Returnee,4/19/2020,15,0,,0,15,829
Domestic,4/20/2020,1222,171,,231,10608,94826
Airport,4/20/2020,2,0,,0,128,21070
Returnee,4/20/2020,15,0,,0,15,829
Domestic,4/21/2020,1339,186,,232,10974,101818
Airport,4/21/2020,2,0,,0,130,21903
Returnee,4/21/2020,15,0,,0,15,829
Domestic,4/22/2020,2023,277,,241,11350,107430
Airport,4/22/2020,2,0,,0,131,22328
Returnee,4/22/2020,15,0,,0,15,829
Domestic,4/23/2020,2391,287,,259,11772,112108
Airport,4/23/2020,2,0,,0,132,23046
Returnee,4/23/2020,15,0,,0,15,829
Domestic,4/24/2020,2519,317,,263,12240,117367
Airport,4/24/2020,2,0,,0,133,23404
Returnee,4/24/2020,15,0,,0,15,829
Domestic,4/25/2020,2645,334,,287,12681,122700
Airport,4/25/2020,2,0,,0,133,23925
Returnee,4/25/2020,15,0,,0,15,829
Domestic,4/26/2020,2798,348,,296,13031,123633
Airport,4/26/2020,2,0,,0,136,24612
Returnee,4/26/2020,15,0,,0,15,829
Domestic,4/27/2020,2888,351,,300,13232,124456
Airport,4/27/2020,2,0,,0,138,25407
Returnee,4/27/2020,15,0,,0,15,829
Domestic,4/28/2020,3170,376,,305,13422,133578
Airport,4/28/2020,2,0,,0,139,26138
Returnee,4/28/2020,15,0,,0,15,829
Domestic,4/29/2020,3357,389,,306,13695,136695
Airport,4/29/2020,2,0,,0,142,26731
Returnee,4/29/2020,15,0,,0,15,829
Domestic,4/30/2020,3449,415,,308,13929,137338
Airport,4/30/2020,2,0,,0,144,27442
Returnee,4/30/2020,15,0,,0,15,829
Domestic,5/1/2020,3964,432,,328,14120,145243
Airport,5/1/2020,2,0,,0,146,28078
Returnee,5/1/2020,15,0,,0,15,829
Domestic,5/2/2020,4194,458,,324,14383,152029
Airport,5/2/2020,2,0,,0,146,28669
Returnee,5/2/2020,15,0,,0,15,829
Domestic,5/3/2020,4368,492,,321,14677,153047
Airport,5/3/2020,2,0,,0,147,29375
Returnee,5/3/2020,15,0,,0,15,829
Domestic,5/4/2020,4479,510,,308,14895,153581
Airport,5/4/2020,2,0,,0,147,30176
Returnee,5/4/2020,15,0,,0,15,829
Domestic,5/5/2020,4570,521,,309,15069,154646
Airport,5/5/2020,2,0,,0,147,30868
Returnee,5/5/2020,15,0,,0,15,829
Domestic,5/6/2020,4901,543,,308,15192,156866
Airport,5/6/2020,2,0,,0,147,31232
Returnee,5/6/2020,15,0,,0,15,829
Domestic,5/7/2020,5129,551,,300,15300,157563
Airport,5/7/2020,2,0,,0,148,31638
Returnee,5/7/2020,15,0,,0,15,829
Domestic,5/8/2020,5889,557,,287,15382,169546
Airport,5/8/2020,2,0,,0,150,31638
Returnee,5/8/2020,15,0,,0,15,829
Domestic,5/9/2020,8110,600,6302,266,15483,179043
Airport,5/9/2020,2,0,149,0,151,32125
Returnee,5/9/2020,15,0,0,0,15,829
Domestic,5/10/2020,8276,613,6250,267,15581,180478
Airport,5/10/2020,2,0,149,0,151,32949
Returnee,5/10/2020,15,0,0,0,15,829
Domestic,5/11/2020,8514,621,6074,249,15630,183845
Airport,5/11/2020,2,0,151,0,153,33530
Returnee,5/11/2020,15,0,0,0,15,829
Domestic,5/12/2020,8903,643,5914,243,15706,188646
Airport,5/12/2020,2,0,151,0,153,34174
Returnee,5/12/2020,15,0,0,0,15,829
Domestic,5/13/2020,9851,668,5162,259,15854,188031
Airport,5/13/2020,2,0,153,0,155,34807
Returnee,5/13/2020,15,0,0,0,15,829
Domestic,5/14/2020,10321,687,4732,245,15908,196816
Airport,5/14/2020,2,0,154,0,156,35499
Returnee,5/14/2020,15,0,0,0,15,829
Domestic,5/15/2020,10792,710,4339,237,16022,194323
Airport,5/15/2020,2,0,154,0,156,35730
Returnee,5/15/2020,15,0,0,0,15,829
Domestic,5/16/2020,11136,725,4025,232,16066,203284
Airport,5/16/2020,2,0,154,0,156,36255
Returnee,5/16/2020,15,0,0,0,15,829
Domestic,5/17/2020,11398,744,3787,230,16112,206790
Airport,5/17/2020,2,0,156,0,158,36833
Returnee,5/17/2020,15,0,0,0,15,829
Domestic,5/18/2020,11547,749,3667,228,16132,211832
Airport,5/18/2020,2,0,156,0,158,37490
Returnee,5/18/2020,15,0,0,0,15,829
Domestic,5/19/2020,11867,763,3400,213,16192,216624
Airport,5/19/2020,2,0,156,0,158,38222
Returnee,5/19/2020,15,0,0,0,15,829
Domestic,5/20/2020,12269,771,3009,210,16212,218744
Airport,5/20/2020,2,0,156,0,158,38704
Returnee,5/20/2020,15,0,0,0,15,829
Domestic,5/21/2020,12655,777,2761,195,16251,221397
Airport,5/21/2020,2,0,156,0,158,39346
Returnee,5/21/2020,15,0,0,0,15,829
Domestic,5/22/2020,12988,796,2495,176,16339,224972
Airport,5/22/2020,2,0,157,0,159,39701
Returnee,5/22/2020,15,0,0,0,15,829
Domestic,5/23/2020,13227,808,2293,174,16362,227445
Airport,5/23/2020,2,0,157,0,159,40203
Returnee,5/23/2020,15,0,0,0,15,829
Domestic,5/24/2020,13396,820,2130,168,16375,229669
Airport,5/24/2020,151,0,157,0,160,40703
Returnee,5/24/2020,15,0,0,0,15,829
Domestic,5/25/2020,13446,830,2111,165,16404,230562
Airport,5/25/2020,151,0,10,0,162,41297
Returnee,5/25/2020,15,0,0,0,15,829
Domestic,5/26/2020,13643,846,1939,155,16445,233399
Airport,5/26/2020,152,0,11,0,163,41942
Returnee,5/26/2020,15,0,0,0,15,829
Domestic,5/27/2020,13806,858,1788,147,16469,235422
Airport,5/27/2020,152,0,15,0,167,42391
Returnee,5/27/2020,15,0,0,0,15,829
Domestic,5/28/2020,13979,867,1637,136,16498,237367
Airport,5/28/2020,153,0,17,0,170,43097
Returnee,5/28/2020,15,0,0,0,15,829
Domestic,5/29/2020,14085,874,1556,131,16532,240334
Airport,5/29/2020,154,0,18,0,172,43600
Returnee,5/29/2020,15,0,0,0,15,829
Domestic,5/30/2020,14237,886,1466,123,16607,242734
Airport,5/30/2020,154,0,28,0,182,44191
Returnee,5/30/2020,15,0,0,0,15,829
Domestic,5/31/2020,14290,891,1452,119,16650,244824
Airport,5/31/2020,154,0,32,0,186,44783
Returnee,5/31/2020,15,0,0,0,15,829
Domestic,6/1/2020,14333,892,1436,115,16679,246100
Airport,6/1/2020,154,0,36,0,190,45640
Returnee,6/1/2020,15,0,0,0,15,829
Domestic,6/2/2020,14481,894,1341,113,16724,248662
Airport,6/2/2020,154,0,37,0,191,46892
Returnee,6/2/2020,15,0,0,0,15,829
Domestic,6/3/2020,14602,900,1270,101,16779,251808
Airport,6/3/2020,154,0,38,0,192,47640
Returnee,6/3/2020,15,0,0,0,15,829
Domestic,6/4/2020,14690,903,1207,102,16807,254229
Airport,6/4/2020,162,0,34,0,196,48575
Returnee,6/4/2020,15,0,0,0,15,829
Domestic,6/5/2020,14795,907,1141,98,16850,257330
Airport,6/5/2020,162,0,37,0,199,49303
Returnee,6/5/2020,15,0,0,0,15,829
Domestic,6/6/2020,14901,914,1064,99,16886,260551
Airport,6/6/2020,163,0,39,0,202,50067
Returnee,6/6/2020,15,0,0,0,15,829
Domestic,6/7/2020,14961,916,1042,98,16923,262642
Airport,6/7/2020,163,0,40,0,203,51012
Returnee,6/7/2020,15,0,0,0,15,829
Domestic,6/8/2020,14970,916,1060,99,16950,263962
Airport,6/8/2020,163,0,46,0,209,52057
Returnee,6/8/2020,15,0,0,0,15,829
Domestic,6/9/2020,15035,916,1028,92,16986,267069
Airport,6/9/2020,163,0,46,0,209,53155
Returnee,6/9/2020,15,0,0,0,15,829
Domestic,6/10/2020,15120,919,965,91,17012,269976
Airport,6/10/2020,163,0,61,0,224,53870
Returnee,6/10/2020,15,0,0,0,15,829
Domestic,6/11/2020,15200,920,923,91,17051,273204
Airport,6/11/2020,168,0,58,0,226,54697
Returnee,6/11/2020,15,0,0,0,15,829
Domestic,6/12/2020,15308,922,854,82,17090,276032
Airport,6/12/2020,170,0,57,0,227,55346
Returnee,6/12/2020,15,0,0,0,15,829
Domestic,6/13/2020,15395,924,810,76,17135,279184
Airport,6/13/2020,170,0,62,0,232,56148
Returnee,6/13/2020,15,0,0,0,15,829
Domestic,6/14/2020,15451,925,801,73,17179,280720
Airport,6/14/2020,177,0,58,0,235,57209
Returnee,6/14/2020,15,0,0,0,15,829
Domestic,6/15/2020,15493,925,819,71,17238,281697
Airport,6/15/2020,178,0,71,0,249,58392
Returnee,6/15/2020,15,0,0,0,15,829
Domestic,6/16/2020,15508,927,871,80,17311,284092
Airport,6/16/2020,178,0,83,0,261,59605
Returnee,6/16/2020,15,0,0,0,15,829
Domestic,6/17/2020,15657,931,760,70,17350,286739
Airport,6/17/2020,178,0,85,0,263,60483
Returnee,6/17/2020,15,0,0,0,15,829
Domestic,6/18/2020,15737,935,712,62,17387,334250
Airport,6/18/2020,178,0,88,0,266,61354
Returnee,6/18/2020,15,0,0,0,15,829
Domestic,6/19/2020,15811,935,707,62,17426,340426
Airport,6/19/2020,182,0,87,0,269,52125
Returnee,6/19/2020,15,0,0,0,15,829
Domestic,6/20/2020,15880,952,677,61,17512,345249
Airport,6/20/2020,182,0,90,0,272,62944
Returnee,6/20/2020,15,0,0,0,15,829
Domestic,6/21/2020,15911,953,711,59,17577,347723
Airport,6/21/2020,182,0,90,0,272,64117
Returnee,6/21/2020,15,0,0,0,15,829
Domestic,6/22/2020,15936,953,732,59,17622,351850
Airport,6/22/2020,182,0,97,0,279,65272
Returnee,6/22/2020,15,0,0,0,15,829
Domestic,6/23/2020,16007,955,706,62,17671,357226
Airport,6/23/2020,190,0,92,0,282,66712
Returnee,6/23/2020,15,0,0,0,15,829
Domestic,6/24/2020,16058,963,698,60,17723,360948
Airport,6/24/2020,190,0,96,0,286,67704
Returnee,6/24/2020,15,0,0,0,15,829
Domestic,6/25/2020,16116,967,713,58,17802,365927
Airport,6/25/2020,189,1,103,0,293,68739
Returnee,6/25/2020,15,0,0,0,15,829
Domestic,6/26/2020,16188,968,727,51,17886,370382
Airport,6/26/2020,189,1,106,0,296,69528
Returnee,6/26/2020,15,0,0,0,15,829
Domestic,6/27/2020,16248,970,757,48,17980,375140
Airport,6/27/2020,189,1,112,0,302,70620
Returnee,6/27/2020,15,0,0,0,15,829
Domestic,6/28/2020,16301,970,790,45,18069,378673
Airport,6/28/2020,189,1,116,0,306,72270
Returnee,6/28/2020,15,0,0,0,15,829
Domestic,6/29/2020,16353,971,822,43,18154,380186
Airport,6/29/2020,189,1,117,0,307,73594
Returnee,6/29/2020,15,0,0,0,15,829
Domestic,6/30/2020,16424,971,869,42,18270,385696
Airport,6/30/2020,192,1,115,0,308,74921
Returnee,6/30/2020,15,0,0,0,15,829
Domestic,7/1/2020,16522,973,897,40,18394,390347
Airport,7/1/2020,194,1,119,0,314,76268
Returnee,7/1/2020,15,0,0,0,15,829
Domestic,7/2/2020,16563,974,1006,37,18545,396911
Airport,7/2/2020,194,1,119,0,314,77568
Returnee,7/2/2020,15,0,0,0,15,829
Domestic,7/3/2020,16654,975,1105,33,18737,402371
Airport,7/3/2020,197,1,118,0,316,78677
Returnee,7/3/2020,15,0,0,0,15,829
Domestic,7/4/2020,16747,976,1224,32,18950,408968
Airport,7/4/2020,197,1,119,0,317,80490
Returnee,7/4/2020,15,0,0,0,15,829
Domestic,7/5/2020,16838,976,1386,33,19184,412102
Airport,7/5/2020,197,1,125,0,323,82233
Returnee,7/5/2020,15,0,0,0,15,829
Domestic,7/6/2020,16912,976,1550,34,19425,414720
Airport,7/6/2020,197,1,137,0,335,84349
Returnee,7/6/2020,15,0,0,0,15,829
Domestic,7/7/2020,16981,977,1671,36,19628,422948
Airport,7/7/2020,201,1,137,0,338,86216
Returnee,7/7/2020,15,0,0,0,15,829
Domestic,7/8/2020,17115,979,1721,35,19816,430047
Airport,7/8/2020,201,1,141,0,343,87334
Returnee,7/8/2020,15,0,0,0,15,829
Domestic,7/9/2020,17250,980,1776,38,20010,438166
Airport,7/9/2020,201,1,144,0,346,88551
Returnee,7/9/2020,15,0,0,0,15,829
Domestic,7/10/2020,17436,981,1929,31,20353,449671
Airport,7/10/2020,201,1,149,0,351,89911
Returnee,7/10/2020,15,0,0,0,15,829
Domestic,7/11/2020,17633,981,2139,33,20753,459538
Airport,7/11/2020,201,1,159,0,361,91291
Returnee,7/11/2020,15,0,0,0,15,829
Domestic,7/12/2020,17787,981,2339,32,21113,464900
Airport,7/12/2020,201,1,172,0,374,92893
Returnee,7/12/2020,15,0,0,0,15,829
Domestic,7/13/2020,17887,981,2587,34,21459,466738
Airport,7/13/2020,201,1,192,0,394,94538
Returnee,7/13/2020,15,0,0,0,15,829
Domestic,7/14/2020,18066,981,2754,40,21798,477290
Airport,7/14/2020,201,1,205,0,407,96313
Returnee,7/14/2020,15,0,0,0,15,829
Domestic,7/15/2020,18312,983,2789,38,22081,488444
Airport,7/15/2020,218,1,193,0,412,97433
Returnee,7/15/2020,15,0,0,0,15,829
Domestic,7/16/2020,18580,984,2885,37,22450,499787
Airport,7/16/2020,219,1,205,0,425,98623
Returnee,7/16/2020,15,0,0,0,15,829
Domestic,7/17/2020,18862,984,3191,39,23029,516470
Airport,7/17/2020,219,1,209,0,429,99750
Returnee,7/17/2020,15,0,0,0,15,829
Domestic,7/18/2020,19132,984,3560,41,23680,524327
Airport,7/18/2020,219,1,217,0,437,100993
Returnee,7/18/2020,15,0,0,0,15,829
Domestic,7/19/2020,19342,984,3865,43,24181,531493
Airport,7/19/2020,219,1,226,0,446,102675
Returnee,7/19/2020,15,0,0,0,15,829
Domestic,7/20/2020,19523,984,4113,47,24626,534755
Airport,7/20/2020,219,1,235,0,455,104237
Returnee,7/20/2020,15,0,0,0,15,829
Domestic,7/21/2020,19921,987,4345,52,25255,550714
Airport,7/21/2020,219,1,246,0,466,105992
Returnee,7/21/2020,15,0,0,0,15,829
Domestic,7/22/2020,20403,988,4421,55,25807,562828
Airport,7/22/2020,233,1,247,0,481,106962
Returnee,7/22/2020,15,0,0,0,15,829
Domestic,7/23/2020,20787,989,4751,59,26529,579185
Airport,7/23/2020,233,1,251,0,485,108022
Returnee,7/23/2020,15,0,0,0,15,829
Domestic,7/24/2020,21080,991,5369,68,27441,587495
Airport,7/24/2020,233,1,266,0,500,109188
Returnee,7/24/2020,15,0,0,0,15,829
Domestic,7/25/2020,21319,992,5949,64,28266,593190
Airport,7/25/2020,233,1,271,0,505,110381
Returnee,7/25/2020,15,0,0,0,15,829
Domestic,7/26/2020,21514,995,6315,66,28851,602720
Airport,7/26/2020,233,1,282,0,516,111734
Returnee,7/26/2020,15,0,0,0,15,829
Domestic,7/27/2020,21868,995,6573,67,29432,606505
Airport,7/27/2020,233,1,288,0,522,113167
Returnee,7/27/2020,15,0,0,0,15,829
Domestic,7/28/2020,22560,997,6828,76,30406,630687
Airport,7/28/2020,236,1,303,0,540,114713
Returnee,7/28/2020,15,0,0,0,15,829
Domestic,7/29/2020,23256,1000,7063,81,31333,648773
Airport,7/29/2020,236,1,316,0,553,115744
Returnee,7/29/2020,15,0,0,0,15,829
Domestic,7/30/2020,23928,1003,7508,90,32459,667442
Airport,7/30/2020,236,1,338,0,575,116953
Returnee,7/30/2020,15,0,0,0,15,829
Domestic,7/31/2020,24678,1005,8062,87,33774,687129
Airport,7/31/2020,236,1,246,0,583,118109
Returnee,7/31/2020,15,0,0,0,15,829
Domestic,8/1/2020,25253,1010,8945,80,35233,704483
Airport,8/1/2020,238,1,349,0,588,119436
Returnee,8/1/2020,15,0,0,0,15,829
Domestic,8/2/2020,25653,1010,9427,83,36081,714089
Airport,8/2/2020,238,1,354,0,593,121486
Returnee,8/2/2020,15,0,0,0,15,829
Domestic,8/3/2020,26234,1011,10422,87,38072,724688
Airport,8/3/2020,238,1,361,0,600,123598
Returnee,8/3/2020,15,0,0,0,15,829
Domestic,8/4/2020,26944,1015,10963,88,39220,750482
Airport,8/4/2020,238,1,384,0,623,125823
Returnee,8/4/2020,15,0,0,0,15,829
Domestic,8/5/2020,27775,1021,11665,104,40485,769222
Airport,8/5/2020,238,1,390,0,629,127289
Returnee,8/5/2020,15,0,0,0,15,829
Domestic,8/6/2020,28624,1025,11910,115,41611,808945
Airport,8/6/2020,238,1,398,0,637,128965
Returnee,8/6/2020,15,0,0,0,15,829
Domestic,8/7/2020,29900,1032,12159,131,43152,830960
Airport,8/7/2020,238,1,409,0,648,130126
Returnee,8/7/2020,15,0,0,0,15,829
Domestic,8/8/2020,31054,1038,12539,140,44770,853658
Airport,8/8/2020,238,1,415,0,654,131614
Returnee,8/8/2020,15,0,0,0,15,829
Domestic,8/9/2020,32059,1039,13011,156,46105,867334
Airport,8/9/2020,238,1,424,0,663,133118
Returnee,8/9/2020,15,0,0,0,15,829
Domestic,8/10/2020,32805,1046,13633,162,47306,880670
Airport,8/10/2020,238,1,430,0,669,134698
Returnee,8/10/2020,15,0,0,0,15,829
Domestic,8/11/2020,33722,1051,13724,171,48238,887110
Airport,8/11/2020,238,1,436,0,675,136296
Returnee,8/11/2020,15,0,0,0,15,829
Domestic,8/12/2020,34635,1058,13610,177,49512,920049
Airport,8/12/2020,238,1,444,0,683,137286
Returnee,8/12/2020,15,0,0,0,15,829
Domestic,8/13/2020,35858,1062,13286,203,50444,945831
Airport,8/13/2020,261,1,426,0,688,138662
Returnee,8/13/2020,15,0,0,0,15,829
Domestic,8/14/2020,37165,1072,13039,211,51513,966893
Airport,8/14/2020,299,1,389,0,689,139815
Returnee,8/14/2020,15,0,0,0,15,829
Domestic,8/15/2020,38600,1084,12976,229,52869,1022133
Airport,8/15/2020,330,1,362,0,693,141067
Returnee,8/15/2020,15,0,0,0,15,829
Domestic,8/16/2020,39715,1087,13072,232,54002,1033883
Airport,8/16/2020,350,1,346,0,697,142601
Returnee,8/16/2020,15,0,0,0,15,829
Domestic,8/17/2020,40794,1098,13008,243,54952,1041321
Airport,8/17/2020,387,1,312,0,700,144318
Returnee,8/17/2020,15,0,0,0,15,829
Domestic,8/18/2020,41853,1114,12767,243,55958,1067156
Airport,8/18/2020,416,1,295,0,712,146160
Returnee,8/18/2020,15,0,0,0,15,829
Domestic,8/19/2020,43379,1127,12084,239,56820,1088286
Airport,8/19/2020,441,1,273,0,715,147065
Returnee,8/19/2020,15,0,0,0,15,829
Domestic,8/20/2020,44771,1143,11686,237,57766,1110223
Airport,8/20/2020,480,1,239,0,720,148370
Returnee,8/20/2020,15,0,0,0,15,829
Domestic,8/21/2020,45938,1154,11709,243,58978,1132112
Airport,8/21/2020,514,1,213,0,728,149752
Returnee,8/21/2020,15,0,0,0,15,829
Domestic,8/22/2020,47045,1168,11597,243,59988,1153978
Airport,8/22/2020,562,1,167,0,730,151321
Returnee,8/22/2020,15,0,0,0,15,829
Domestic,8/23/2020,47946,1175,11732,254,61001,1167326
Airport,8/23/2020,589,1,141,0,731,152924
Returnee,8/23/2020,15,0,0,0,15,829
Domestic,8/24/2020,48716,1180,11718,259,61754,1178279
Airport,8/24/2020,609,1,128,0,738,154776
Returnee,8/24/2020,15,0,0,0,15,829
Domestic,8/25/2020,49794,1195,11211,252,62364,1200330
Airport,8/25/2020,622,1,119,0,742,156469
Returnee,8/25/2020,15,0,0,0,15,829
